,guide,cass_time,cass_score,base_score,our_time,our_score
0,sss,1.2185027599334717,0.8932917200170721,0.7097276189132965,69.75234913825989,0.2371179269405537
1,sss,1.2694718837738037,0.9105937167257077,0.4974915941638658,71.63706588745117,0.16849956055388146
2,sss,1.4703521728515625,0.8769673885832381,0.7514589740067141,70.06467485427856,0.28791547649927546
3,sss,1.3793373107910156,0.9603072841826019,0.5114422542066472,72.38969230651855,0.21869254341164454
4,sss,1.4507899284362793,0.9661091111716884,0.6837033549491625,72.44216513633728,0.2751412958425685
5,sss,1.393596887588501,0.8323482567989275,0.848504936027656,71.8094871044159,0.350394348897792
6,sss,1.1946091651916504,0.9588800780269113,0.5164854491854319,70.14364910125732,0.2063471108300375
7,sss,1.304980993270874,0.9327493870176797,0.5177138560981087,70.36172103881836,0.19640237951133865
8,sss,1.337082862854004,0.9448039807285712,0.7691941647101991,73.148442029953,0.2763507033600266
9,ssm,1.366973876953125,0.9487196107437196,0.6430903958654177,71.66170597076416,0.25726123018189734
10,ssm,1.5608057975769043,0.9666705834443277,0.7835874269665521,70.11458492279053,0.29370482221921934
11,ssm,1.4367151260375977,0.9088917260908629,0.8044576391350584,73.54908680915833,0.28857939604744715
12,ssm,1.4224610328674316,0.9470279908890924,0.8710966009076595,69.55695271492004,0.37374530168574016
13,ssm,1.5358269214630127,0.9564172583564022,0.6056653753695174,70.00451803207397,0.21969569450647594
14,ssm,1.4508419036865234,0.9497636737803127,0.9096374594169196,73.56993103027344,0.36232453201617254
15,ssm,1.467844009399414,0.9584867433155984,0.7901351959289317,73.46164608001709,0.35255787347541623
16,ssm,1.6241810321807861,0.9737741229643446,0.8380672706256846,71.33785510063171,0.31604166609497547
17,ssm,1.463399887084961,0.8990786628007745,0.6093681251740463,71.43271708488464,0.22503978377832226
18,smm,1.8916149139404297,0.86966914734664,0.7839621677565658,71.38271808624268,0.3558658855713374
19,smm,2.134643793106079,0.92446804751,0.9278917220990391,71.25125813484192,0.3633915317573406
20,smm,1.845163106918335,0.9003417961725672,0.9191638127853882,71.85376000404358,0.31574427197817956
21,smm,1.7920708656311035,0.9726445477137732,0.7094791698014786,73.42327976226807,0.3231531055656413
22,smm,1.6834170818328857,0.9738452034358543,0.873728558050857,71.44153428077698,0.3772916528009135
23,smm,1.7688488960266113,0.9553737711928016,0.8595454818098771,70.88745427131653,0.3043501379003231
24,smm,1.698585033416748,0.9104736494384222,0.8421869052451496,73.73133301734924,0.3530771067233318
25,smm,1.7297260761260986,0.9098140464125821,0.8030797687999904,71.14692497253418,0.3560231077551471
26,smm,1.8197832107543945,0.9270859790785692,0.8388790926206549,70.2625560760498,0.3662332744500249
27,ssf,1.8452231884002686,0.8799836815660201,0.8431077348066298,70.35086011886597,0.42383121023315035
28,ssf,1.8656959533691406,0.9195782767656763,0.9450125645679186,73.83776998519897,0.5117447014671798
29,ssf,1.6895978450775146,0.8844505359996043,0.8764871226859592,73.1074230670929,0.4667960691954222
30,ssf,19.60266089439392,0.9364485169911717,0.9085526315789474,70.54915189743042,0.43802250669870957
31,ssf,1.8740458488464355,0.7991891425963522,0.9509803921568627,71.0736792087555,0.48911463722937093
32,ssf,1.848475694656372,0.8674646156286803,0.9234516879177845,74.4941520690918,0.3970430370153503
33,ssf,1.785517930984497,0.8824369574899578,0.9443784212042639,73.28409194946289,0.410586411246349
34,ssf,1.8744041919708252,0.9202997172193743,0.8523887363329605,73.33904790878296,0.47916210038416956
35,ssf,1.7588849067687988,0.9554475574280769,0.7264996179772369,73.17559289932251,0.3576792616737913
36,smf,2.4571878910064697,0.9356589715149537,0.9780048247481198,70.15431714057922,0.4640507271295509
37,smf,2.0032079219818115,0.8933921550107294,0.9606018678657904,71.99367690086365,0.4826509668564613
38,smf,2.088900089263916,0.8683401279735748,0.8598724754676144,73.18404603004456,0.44824876109495176
39,smf,2.106368064880371,0.8863299921384361,0.9471633795958121,72.13460421562195,0.5464262046762596
40,smf,2.1063859462738037,0.9095689316938688,0.9266497954378279,71.90705680847168,0.42443059853936094
41,smf,2.224355936050415,0.8670744378969281,0.8305362916319586,71.01396584510803,0.4903358068035401
42,smf,2.4345808029174805,0.8259771216288799,0.8779358254827984,71.88549304008484,0.5451040144124821
43,smf,2.1417980194091797,0.8795165494357295,0.9215407058985281,72.62287902832031,0.534884715821626
44,smf,2.0563876628875732,0.940083003728046,0.9290608871440927,71.61855006217957,0.4945430159077264
45,sff,2.481776714324951,0.8782432442952948,0.9803883744855967,72.7742428779602,0.7072482972667617
46,sff,3.031355857849121,0.9187453434502515,1.0,70.52582025527954,0.6947556197493224
47,sff,2.4586269855499268,0.9085615967881882,0.9776264591439688,71.6544828414917,0.6994054689815761
48,sff,2.509726047515869,0.936591987325739,0.9334588361042724,71.2772307395935,0.6290083863312901
49,sff,2.4597887992858887,0.9338521605848038,0.9576923076923077,72.66463613510132,0.7722164149001945
50,sff,2.424196720123291,0.9439717903157628,0.9953703703703703,73.52767896652222,0.7441349638998499
51,sff,2.3938980102539062,0.846248948927742,0.9564940088221741,72.95679020881653,0.688711726526166
52,sff,2.322751998901367,0.9374824398111038,0.9744572158365261,71.88755416870117,0.7239704264583771
53,sff,2.9187300205230713,0.8968537883299057,0.9861111111111112,70.4102509021759,0.6797579086973635
54,mmm,2.078397274017334,0.9644574836280797,0.8628632371948154,72.78858780860901,0.3007294550889733
55,mmm,1.8079681396484375,0.9103782269739013,0.8056827233320774,73.64648795127869,0.27600807970272845
56,mmm,1.9380519390106201,0.8922047638024657,0.9176969706949234,70.42806315422058,0.3222192457987579
57,mmm,1.9540858268737793,0.9124395584186472,0.8845356999933301,71.89849400520325,0.3099962357267261
58,mmm,1.8457889556884766,0.8685908188606812,0.7659575081936943,70.68513798713684,0.2625727306833913
59,mmm,2.015683889389038,0.8488901952960904,0.9139116969173149,71.82438516616821,0.3569505076161332
60,mmm,1.8679568767547607,0.9572080164266462,0.7475133106887872,70.30722093582153,0.296830879365837
61,mmm,1.9357671737670898,0.9430879326610584,0.836580788186372,73.05357623100281,0.30081300743454703
62,mmm,2.182559013366699,0.9126287626029688,0.9302533442533443,71.46680402755737,0.37302241221180354
63,mmf,2.821594715118408,0.8648358420130757,0.939873417721519,71.88005924224854,0.5891167036473723
64,mmf,2.2307510375976562,0.90188972818997,0.962962962962963,72.89166975021362,0.5321306505098685
65,mmf,2.2643258571624756,0.8762006130452353,0.9380040322580645,70.07120990753174,0.3979457064467158
66,mmf,2.4755280017852783,0.8393203600655693,0.9330578235845268,72.49619102478027,0.5612516156266456
67,mmf,2.4638679027557373,0.9157889053933679,0.9191422432026373,72.6863100528717,0.44510106314955655
68,mmf,2.40667986869812,0.8096227790204753,0.9594594594594594,72.94022297859192,0.523783245258998
69,mmf,2.2506747245788574,0.8435259535074793,0.9148252663733226,72.20478796958923,0.4260931601311878
70,mmf,2.514939785003662,0.9277812139948042,0.8912624935536946,70.88851308822632,0.40742174951729715
71,mmf,2.389716148376465,0.8872730415486296,0.9060199113027344,70.57012915611267,0.3874766543158183
72,mff,2.4051918983459473,0.8565445368659821,0.9075989627227848,73.09407091140747,0.4681246724890131
73,mff,2.581010103225708,0.9008002292518169,0.9827363612288136,72.90292000770569,0.7689594866594215
74,mff,2.5819051265716553,0.8295202074038147,0.9666666666666667,72.9335458278656,0.6848232202063405
75,mff,2.7171590328216553,0.8704728219690956,1.0,70.95200610160828,0.6670965762177263
76,mff,2.62335205078125,0.8400731171249203,0.9837662337662337,70.29218101501465,0.5943429404170929
77,mff,2.7920820713043213,0.818963653849359,0.9947916666666666,73.20474314689636,0.6867560630736504
78,mff,2.667133092880249,0.8876237890706722,0.9915254237288136,70.72810387611389,0.720405396984289
79,mff,2.8415579795837402,0.880867304385253,0.982905982905983,70.8004322052002,0.7354602194479416
80,mff,2.4820711612701416,0.8453366342214887,1.0,71.93827795982361,0.6536188128847378
81,fff,3.2915971279144287,0.8945541730756222,0.9930555555555556,70.48318386077881,0.8487663417855453
82,fff,3.1717190742492676,0.8725391631286338,1.0,70.14116978645325,0.895309060387097
83,fff,3.0098159313201904,0.9027430885135052,0.9339550454328073,70.2480058670044,0.7455841456348518
84,fff,2.6875219345092773,0.9216499131305673,1.0,71.80347895622253,0.9003612394642235
85,fff,2.7628180980682373,0.8867651674186962,1.0,72.63390779495239,0.8219906011796709
86,fff,2.6028101444244385,0.8182136405507912,0.950087954036744,72.9212760925293,0.7368922699742402
87,fff,2.646304130554199,0.9112027353177796,1.0,72.59569692611694,0.8304615275403129
88,fff,2.524484872817993,0.9170327382410914,0.9470647037440931,73.07194781303406,0.790010757793727
89,fff,18.064443826675415,0.8300776304431922,0.9905660377358491,72.72208786010742,0.8022878944399079
